Name: STRATO3, HW Version: 1.0, SW Version: 1.2, SN: 1001003000152
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.250;26.125;52.25;1025.180;9.5;66575
$;00:00:03;08:51:37;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;35.875;26.250;53.116;1025.209;9.5;66591
$;00:00:05;08:51:39;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.500;26.125;53.474;1025.270;9.5;66591
$;00:00:07;08:51:41;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.750;26.250;53.757;1025.270;9.5;66591
$;00:00:09;08:51:43;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.500;26.125;59.639;1025.260;9.5;66591
$;00:00:11;08:51:45;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.125;26.250;59.952;1025.60;9.5;66591
$;00:00:13;08:51:47;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.375;26.500;59.349;1025.160;9.5;66623
$;00:00:15;08:51:49;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.500;26.625;59.189;1025.150;9.5;66609
$;00:00:17;08:51:51;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.750;26.750;59.387;1025.329;9.5;66609
$;00:00:19;08:51:53;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.875;26.875;59.265;1025.280;9.5;66609
$;00:00:21;08:51:55;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.125;27.0;58.983;1025.260;9.4;66609
$;00:00:23;08:51:57;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.250;27.0;58.571;1025.359;9.5;66609
$;00:00:25;08:51:59;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.375;27.125;58.220;1025.390;9.4;66609
$;00:00:27;08:52:01;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.375;27.0;58.113;1025.199;9.4;66609
$;00:00:29;08:52:03;16.06.2022;Y;04;53 04.35348 N;007 23.97005 E;0.630;1.1;;-2.6;37.625;27.125;58.44;1025.239;9.4;66673
$;00:00:31;08:52:05;16.06.2022;Y;04;53 04.35364 N;007 23.96988 E;1.171;2.1;260.00;-1.2;37.500;27.250;57.655;1025.349;9.4;66673
$;00:00:33;08:52:07;16.06.2022;Y;04;53 04.35421 N;007 23.97061 E;1.131;2.0;242.02;0.8;37.500;27.125;49.995;1025.319;9.4;66673
$;00:00:35;08:52:09;16.06.2022;Y;04;53 04.35468 N;007 23.97162 E;1.705;3.1;231.30;0.8;37.625;27.125;57.60;1025.189;9.4;66673
$;00:00:37;08:52:11;16.06.2022;Y;04;53 04.35438 N;007 23.97163 E;1.205;2.2;233.99;1.5;37.500;27.250;50.285;1025.479;9.4;66673
$;00:00:39;08:52:13;16.06.2022;Y;04;53 04.35465 N;007 23.97231 E;1.283;2.3;239.86;0.7;37.625;26.875;47.791;1025.290;9.4;66673
$;00:00:41;08:52:15;16.06.2022;Y;04;53 04.35449 N;007 23.97220 E;1.284;2.3;237.46;1.5;37.750;26.875;47.455;1025.199;9.4;66673
$;00:00:43;08:52:17;16.06.2022;Y;04;53 04.35440 N;007 23.97203 E;0.893;1.6;236.56;2.0;37.750;26.625;48.393;1025.160;9.4;66673
$;00:00:45;08:52:19;16.06.2022;Y;04;53 04.35417 N;007 23.97144 E;0.878;1.6;;2.5;37.750;26.750;53.551;1024.969;9.4;66673
$;00:00:47;08:52:21;16.06.2022;Y;04;53 04.35403 N;007 23.97120 E;0.320;0.5;;2.2;37.750;26.625;54.543;1025.109;9.4;66673
$;00:00:49;08:52:23;16.06.2022;Y;04;53 04.35404 N;007 23.97144 E;0.996;1.8;233.78;1.2;38.0;26.875;55.191;1025.130;9.4;66673
$;00:00:51;08:52:25;16.06.2022;Y;04;53 04.35404 N;007 23.97171 E;0.273;0.5;;0.2;37.875;26.875;55.283;1025.219;9.4;66673
$;00:00:53;08:52:27;16.06.2022;Y;05;53 04.35376 N;007 23.97168 E;0.463;0.8;;0.3;38.0;27.125;55.290;1025.199;9.4;66673
$;00:00:55;08:52:29;16.06.2022;Y;05;53 04.35377 N;007 23.97189 E;0.294;0.5;;-0.3;38.125;27.250;47.775;1025.130;9.4;66673
$;00:00:57;08:52:31;16.06.2022;Y;05;53 04.35374 N;007 23.97166 E;0.290;0.5;;0.7;38.0;26.875;47.546;1025.380;9.4;66673
$;00:00:59;08:52:33;16.06.2022;Y;07;53 04.35027 N;007 23.96669 E;0.346;0.6;;13.7;38.125;26.875;47.844;1025.99;9.4;66673
$;00:01:01;08:52:35;16.06.2022;Y;07;53 04.34718 N;007 23.96151 E;0.133;0.2;;24.2;38.125;26.750;48.248;1025.180;9.4;66673
$;00:01:03;08:52:37;16.06.2022;Y;07;53 04.34698 N;007 23.96107 E;0.097;0.1;;24.5;38.375;26.750;48.569;1025.239;9.4;66673
$;00:01:05;08:52:39;16.06.2022;Y;07;53 04.34705 N;007 23.96115 E;0.031;0.0;;24.5;38.500;26.625;55.618;1025.140;9.4;66673
